0,1,2,3,4,5,6,7,8,9,10,11,12,13
2.28,2.42,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,77.15273775216139,32.55794871794872,8.0
2.846073103521127,2.820175578700078,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,4.0,77.15273775216139,25.0,9.0
2.94,3.25,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,77.15273775216139,21.0,9.0
3.473684,2.909091,1.0,8.0,6.0,2.0,2.0,1.0,2.0,2.0,5.0,77.15273775216139,22.0,9.0
4.136364,3.804348,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,75.0,48.0,9.0
3.895833,3.75,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,77.15273775216139,46.0,10.0
3.92,3.942308,3.0,4.0,6.0,1.0,1.0,2.0,2.0,1.0,4.0,77.15273775216139,32.55794871794872,10.0
3.086957,3.543478,1.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,3.0,77.15273775216139,46.0,8.0
4.083333,3.980769,3.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,77.15273775216139,32.55794871794872,9.0
3.0,2.961538,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,77.15273775216139,32.55794871794872,8.0
2.772727,3.214286,1.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,3.0,77.15273775216139,49.0,8.0
4.22,4.136364,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,92.0,47.0,9.0
3.347826,3.136364,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,2.0,94.0,44.0,7.0
3.26087,3.096154,3.0,2.0,6.0,1.0,2.0,1.0,2.0,2.0,7.0,77.15273775216139,32.55794871794872,8.0
2.714286,3.027778,1.0,2.0,6.0,2.0,1.0,1.0,1.0,0.0,4.0,77.0,25.0,9.0
0.0,2.820175578700078,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,70.0,29.0,9.0
